,user,text,favorite_count,retweet_count,created_at
51,iamsrk,I have lots of pets I just don’t put their pics on social media…don’t want them to become more famous than me…. https://t.co/JhdwLJKEXk,14855,1678,2023-02-20 08:06:58+00:00
52,iamsrk,Now I like to play what I think people would like me to play…I have evolved as an actor I think. My personal likes are diminishing. https://t.co/7cT5BqwAbO,6840,1227,2023-02-20 08:06:05+00:00
53,iamsrk,I explain the same thing too many times..I explain the same thing too many times…I explain the same thing too many times!!! https://t.co/x3ZSnEYMIj,11384,1483,2023-02-20 08:03:15+00:00
54,iamsrk,"So far So good….#Pathaan  For years we are doing #AskSRK let’s do one today where the questions are sweeter, irrelevant &amp; fun maybe even what u #DontAskSRK for 15mins. No bad language no personal meanness. Let’s go!! Happy hours ( 15 mins )",62771,4362,2023-02-20 08:00:23+00:00
55,iamsrk,"RT @yrf: Due to the tremendous love received on #PathaanDay, here's something special for you. #Pathaan tickets are now available at ₹ 200/…",0,1757,2023-02-18 08:12:49+00:00
56,iamsrk,Oh oh ab toh phir dekhni padhegi. What a good thing to do. Thank u @yrf  Can u arrange some free popcorn also! No?? https://t.co/IcRdfIW9gQ,22600,3360,2023-02-16 07:03:03+00:00
57,iamsrk,Now need to go. Lil one back from school and has many stories to tell me about his day at work! Love you and Happy Valentine’s Day. Thank u for #Pathaan,24275,2459,2023-02-14 08:05:05+00:00
58,iamsrk,I just hope to entertain you all. https://t.co/4McnZeQsTe,8071,1249,2023-02-14 08:03:43+00:00
59,iamsrk,They are doing it better than me!! Will have to learn it from Virat And Jadeja!!! https://t.co/q1aCmZByDu,48535,4151,2023-02-14 07:58:01+00:00
60,iamsrk,On Valentine Day it should be #Pathaan day.. https://t.co/sBXWmXnTPK,9225,1415,2023-02-14 07:55:49+00:00
61,iamsrk,Sharon may not know but I am her biggest fan. She is the most gorgeous and intelligent woman!!! https://t.co/QZV1Tdfy2d,16563,1898,2023-02-14 07:53:58+00:00
62,iamsrk,Raju Sir is a dream come true to work with. Learnt so much from him and his film making. I am truly fortunate and he is too much fun. https://t.co/tSKYgupt8t,9330,1464,2023-02-14 07:53:02+00:00
63,iamsrk,The only Legend https://t.co/ZDNJnNiBUh,12723,1412,2023-02-14 07:51:20+00:00
64,iamsrk,"Oh my God such big big words and questions but to humour you…here…”examine the position of the masses, their objective conditions of life, the different classes among them, the real nature of the liberty for which they are in fact striving…” happy??? https://t.co/RGYFrNzpIx",9275,1562,2023-02-14 07:50:42+00:00
